,Symbol,Company Name
556,ARVINDFASN,Arvind Fashions Limited
557,TATVA,Tatva Chintan Pharma Chem Limited
558,POWERMECH,Power Mech Projects Limited
559,HCG,Healthcare Global Enterprises Limited
560,NESCO,Nesco Limited
561,HEIDELBERG,HeidelbergCement India Limited
562,TECHNOE,Techno Electric & Engineering Company Limited
563,POLYPLEX,Polyplex Corporation Limited
564,SURYAROSNI,Surya Roshni Limited
565,AUTOAXLES,Automotive Axles Limited
566,JWL,Jupiter Wagons Limited
567,NFL,National Fertilizers Limited
568,HEG,HEG Limited
569,RAJRILTD,Raj Rayon Industries Limited
570,CHENNPETRO,Chennai Petroleum Corporation Limited
571,WSTCSTPAPR,West Coast Paper Mills Limited
572,LUXIND,Lux Industries Limited
573,HIKAL,Hikal Limited
574,MIDHANI,Mishra Dhatu Nigam Limited
575,HLEGLAS,HLE Glascoat Limited
576,SHAREINDIA,Share India Securities Limited
577,NOCIL,NOCIL Limited
578,NAZARA,Nazara Technologies Limited
579,BANARISUG,Bannari Amman Sugars Limited
580,ANANDRATHI,Anand Rathi Wealth Limited
581,PRUDENT,Prudent Corporate Advisory Services Limited
582,GRAVITA,Gravita India Limited
583,GREENPANEL,Greenpanel Industries Limited
584,VESUVIUS,Vesuvius India Limited
585,DCBBANK,DCB Bank Limited
586,ROSSARI,Rossari Biotech Limited
587,RESPONIND,Responsive Industries Limited
588,TINPLATE,The Tinplate Company of India Limited
589,KIRLOSBROS,Kirloskar Brothers Limited
590,RAILTEL,Railtel Corporation Of India Limited
591,AMIORG,Ami Organics Limited
592,ISGEC,Isgec Heavy Engineering Limited
593,NEOGEN,Neogen Chemicals Limited
594,MARKSANS,Marksans Pharma Limited
595,NAVA,NAVA LIMITED
596,NEWGEN,Newgen Software Technologies Limited
597,BECTORFOOD,Mrs. Bectors Food Specialities Limited
598,TWL,Titagarh Wagons Limited
599,AARTIDRUGS,Aarti Drugs Limited
600,UJJIVAN,Ujjivan Financial Services Limited
601,GATEWAY,Gateway Distriparks Limited
602,SULA,Sula Vineyards Limited
603,DAAWAT,LT Foods Limited
604,SOUTHBANK,The South Indian Bank Limited
605,GET&D,GE T&D India Limited
606,HARSHA,Harsha Engineers International Limited
607,PGEL,PG Electroplast Limited
608,RSYSTEMS,R Systems International Limited
609,INDOCO,Indoco Remedies Limited
610,MOLDTKPAC,Mold-Tek Packaging Limited
611,IFBIND,IFB Industries Limited
612,SBCL,Shivalik Bimetal Controls Limited
613,BCG,Brightcom Group Limited
614,GREAVESCOT,Greaves Cotton Limited
615,MOIL,MOIL Limited
616,TATASTLLP,Tata Steel Long Products Limited
617,TARSONS,Tarsons Products Limited
618,SHANTIGEAR,Shanthi Gears Limited
619,CHOICEIN,Choice International Limited
620,TIIL,Technocraft Industries (India) Limited
621,DHANUKA,Dhanuka Agritech Limited
622,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited
623,DODLA,Dodla Dairy Limited
624,DALMIASUG,Dalmia Bharat Sugar and Industries Limited
625,VOLTAMP,Voltamp Transformers Limited
626,ASTEC,Astec LifeSciences Limited
627,SUDARSCHEM,Sudarshan Chemical Industries Limited
628,KSCL,Kaveri Seed Company Limited
629,SUNFLAG,Sunflag Iron And Steel Company Limited
630,IBREALEST,Indiabulls Real Estate Limited
631,THOMASCOOK,Thomas Cook  (India)  Limited
632,HBLPOWER,HBL Power Systems Limited
633,INOXWIND,Inox Wind Limited
634,NILKAMAL,Nilkamal Limited
635,ZENTEC,Zen Technologies Limited
636,TCNSBRANDS,TCNS Clothing Co. Limited
637,ADVENZYMES,Advanced Enzyme Technologies Limited
638,STAR,Strides Pharma Science Limited
639,FCL,Fineotex Chemical Limited
640,KKCL,Kewal Kiran Clothing Limited
641,HINDWAREAP,Hindware Home Innovation Limited
642,MAHLOG,Mahindra Logistics Limited
643,EMIL,Electronics Mart India Limited
644,JTEKTINDIA,Jtekt India Limited
645,MANINFRA,Man Infraconstruction Limited
646,ITDC,India Tourism Development Corporation Limited
647,APCOTEXIND,Apcotex Industries Limited
648,PRICOLLTD,Pricol Limited
649,PTC,PTC India Limited
650,AARTIPHARM,Aarti Pharmalabs Limited
651,MBAPL,Madhya Bharat Agro Products Limited
652,SAGCEM,Sagar Cements Limited
653,TDPOWERSYS,TD Power Systems Limited
654,JAICORPLTD,Jai Corp Limited
655,DBL,Dilip Buildcon Limited
656,BARBEQUE,Barbeque Nation Hospitality Limited
657,UNIPARTS,Uniparts India Limited
658,UFLEX,UFLEX Limited
659,WONDERLA,Wonderla Holidays Limited
660,PSPPROJECT,PSP Projects Limited
661,KIRLOSIND,Kirloskar Industries Limited
662,IPL,India Pesticides Limited
663,DISHTV,Dish TV India Limited
664,TATAMETALI,Tata Metaliks Limited
665,PAISALO,Paisalo Digital Limited
666,PFOCUS,Prime Focus Limited
667,HEMIPROP,Hemisphere Properties India Limited
668,LGBBROSLTD,LG Balakrishnan & Bros Limited
669,MAITHANALL,Maithan Alloys Limited
670,SSWL,Steel Strips Wheels Limited
671,NEULANDLAB,Neuland Laboratories Limited
672,HATHWAY,Hathway Cable & Datacom Limited
673,THYROCARE,Thyrocare Technologies Limited
674,ORIENTCEM,Orient Cement Limited
675,DREAMFOLKS,Dreamfolks Services Limited
676,ETHOSLTD,Ethos Limited
677,GLOBUSSPR,Globus Spirits Limited
678,GANESHHOUC,Ganesh Housing Corporation Limited
679,ARVIND,Arvind Limited
680,ICIL,Indo Count Industries Limited
681,SHRIPISTON,Shriram Pistons & Rings Limited
682,WOCKPHARMA,Wockhardt Limited
683,DBREALTY,D B Realty Limited
684,ISMTLTD,ISMT Limited
685,JINDALPOLY,Jindal Poly Films Limited
686,WABAG,VA Tech Wabag Limited
687,BAJAJCON,Bajaj Consumer Care Limited
688,GENUSPOWER,Genus Power Infrastructures Limited
689,BUTTERFLY,Butterfly Gandhimathi Appliances Limited
690,NAVNETEDUL,Navneet Education Limited
691,GOKEX,Gokaldas Exports Limited
692,APOLLOPIPE,Apollo Pipes Limited
693,LANDMARK,Landmark Cars Limited
694,IFCI,IFCI Limited
695,ATFL,Agro Tech Foods Limited
696,EVEREADY,Eveready Industries India Limited
697,AGI,AGI Greenpac Limited
698,TI,Tilaknagar Industries Limited
699,ASHOKA,Ashoka Buildcon Limited
700,SOMANYCERA,Somany Ceramics Limited
701,HCC,Hindustan Construction Company Limited
702,JISLJALEQS,Jain Irrigation Systems Limited
703,VINDHYATEL,Vindhya Telelinks Limited
704,FIEMIND,Fiem Industries Limited
705,TASTYBITE,Tasty Bite Eatables Limited
706,JAYNECOIND,Jayaswal Neco Industries Limited
707,HONDAPOWER,Honda India Power Products Limited
708,UNICHEMLAB,Unichem Laboratories Limited
709,MUKANDLTD,Mukand Limited
710,CIGNITITEC,Cigniti Technologies Limited
711,MMFL,MM Forgings Limited
712,VENKEYS,Venky's (India) Limited
713,RAMKY,Ramky Infrastructure Limited
714,DIVGIITTS,Divgi Torqtransfer Systems Limited
715,CAMLINFINE,Camlin Fine Sciences Limited
716,SHILPAMED,Shilpa Medicare Limited
717,GULFOILLUB,Gulf Oil Lubricants India Limited
718,MOL,Meghmani Organics Limited
719,DOLLAR,Dollar Industries Limited
720,VSTTILLERS,V.S.T Tillers Tractors Limited
721,SUBROS,Subros Limited
722,DCAL,Dishman Carbogen Amcis Limited
723,GABRIEL,Gabriel India Limited
724,MAXVIL,Max Ventures and Industries Limited
725,SIYSIL,Siyaram Silk Mills Limited
726,TVSSRICHAK,TVS Srichakra Limited
727,ASTRAMICRO,Astra Microwave Products Limited
728,JKIL,J.Kumar Infraprojects Limited
729,JAGRAN,Jagran Prakashan Limited
730,ELECTCAST,Electrosteel Castings Limited
731,CARERATING,CARE Ratings Limited
732,INDIAGLYCO,India Glycols Limited
733,BALMLAWRIE,Balmer Lawrie & Company Limited
734,KOLTEPATIL,Kolte - Patil Developers Limited
735,IMAGICAA,Imagicaaworld Entertainment Limited
736,WELENT,Welspun Enterprises Limited
737,TIPSINDLTD,TIPS Industries Limited
738,SWARAJENG,Swaraj Engines Limited
739,MAYURUNIQ,Mayur Uniquoters Ltd
740,GANECOS,Ganesha Ecosphere Limited
741,PARAS,Paras Defence and Space Technologies Limited
742,LUMAXTECH,Lumax Auto Technologies Limited
743,ACCELYA,Accelya Solutions India Limited
744,KESORAMIND,Kesoram Industries Limited
745,CARTRADE,Cartrade Tech Limited
746,MPSLTD,MPS Limited
747,SEQUENT,Sequent Scientific Limited
748,HIL,HIL Limited
749,GUFICBIO,Gufic Biosciences Limited
750,ITDCEM,ITD Cementation India Limited
751,PILANIINVS,Pilani Investment and Industries Corporation Limited
752,MSTCLTD,Mstc Limited
753,LSIL,Lloyds Steels Industries Limited
754,PANAMAPET,Panama Petrochem Limited
755,OPTIEMUS,Optiemus Infracom Limited
756,SIRCA,Sirca Paints India Limited
757,TIRUMALCHM,Thirumalai Chemicals Limited
758,DYNAMATECH,Dynamatic Technologies Limited
759,SUNDARMHLD,Sundaram Finance Holdings Limited
760,TIMETECHNO,Time Technoplast Limited
761,DBCORP,D.B.Corp Limited
762,ASHIANA,Ashiana Housing Limited
763,CONFIPET,Confidence Petroleum India Limited
764,DIAMONDYD,Prataap Snacks Limited
765,NUCLEUS,Nucleus Software Exports Limited
766,GREENPLY,Greenply Industries Limited
767,JPASSOCIAT,Jaiprakash Associates Limited
768,WENDT,Wendt (India) Limited
769,FINOPB,Fino Payments Bank Limited
770,FMGOETZE,Federal-Mogul Goetze (India) Limited.
771,SANGHIIND,Sanghi Industries Limited
772,VAKRANGEE,Vakrangee Limited
773,GNA,GNA Axles Limited
774,AMRUTANJAN,Amrutanjan Health Care Limited
775,EMUDHRA,eMudhra Limited
776,DATAMATICS,Datamatics Global Services Limited
777,SHARDAMOTR,Sharda Motor Industries Limited
778,IOLCP,IOL Chemicals and Pharmaceuticals Limited
779,LUMAXIND,Lumax Industries Limited
780,BAJAJHIND,Bajaj Hindusthan Sugar Limited
781,STYLAMIND,Stylam Industries Limited
782,ANDHRAPAP,ANDHRA PAPER LIMITED
783,SOTL,Savita Oil Technologies Limited
784,ADFFOODS,ADF Foods Limited
785,VIDHIING,Vidhi Specialty Food Ingredients Limited
786,KABRAEXTRU,Kabra Extrusion Technik Limited
787,BEPL,Bhansali Engineering Polymers Limited
788,RUPA,Rupa & Company Limited
789,NACLIND,NACL Industries Limited
790,VSSL,Vardhman Special Steels Limited
791,VISHNU,Vishnu Chemicals Limited
792,DWARKESH,Dwarikesh Sugar Industries Limited
793,DHANI,Dhani Services Limited
794,BANCOINDIA,Banco Products (I) Limited
795,KINGFA,Kingfa Science & Technology (India) Limited
796,SUBEXLTD,Subex Limited
797,HINDOILEXP,Hindustan Oil Exploration Company Limited
798,RTNPOWER,RattanIndia Power Limited
799,VADILALIND,Vadilal Industries Limited
800,BBOX,Black Box Limited
801,ORCHPHARMA,Orchid Pharma Limited
802,PURVA,Puravankara Limited
803,COSMOFIRST,COSMO FIRST LIMITED
804,IMFA,Indian Metals & Ferro Alloys Limited
805,SUPRIYA,Supriya Lifescience Limited
806,SAKSOFT,Saksoft Limited
807,IIFLSEC,IIFL Securities Limited
808,SANGHVIMOV,Sanghvi Movers Limited
809,GOKULAGRO,Gokul Agro Resources Limited
810,ALEMBICLTD,Alembic Limited
811,VENUSPIPES,Venus Pipes & Tubes Limited
812,SEAMECLTD,Seamec Limited
813,TNPL,Tamil Nadu Newsprint & Papers Limited
814,KPIGREEN,KPI Green Energy Limited
815,BFINVEST,BF Investment Limited
816,SESHAPAPER,Seshasayee Paper and Boards Limited
817,DHAMPURSUG,Dhampur Sugar Mills Limited
818,ANDHRSUGAR,The Andhra Sugars Limited
819,KIRIINDUS,Kiri Industries Limited
820,TTKHLTCARE,TTK Healthcare Limited
821,CARYSIL,CARYSIL LIMITED
822,GOCLCORP,GOCL Corporation Limited
823,JSWISPL,JSW Ispat Special Products Limited
824,STERTOOLS,Sterling Tools Limited
825,SHALBY,Shalby Limited
826,TIDEWATER,Tide Water Oil Company (India) Limited
827,KRSNAA,Krsnaa Diagnostics Limited
828,KRISHANA,Krishana Phoschem Limited
829,HUHTAMAKI,Huhtamaki India Limited
830,BBL,Bharat Bijlee Limited
831,SEPC,SEPC Limited
832,ORISSAMINE,The Orissa Minerals Development Company Limited
833,FILATEX,Filatex India Limited
834,THEJO,Thejo Engineering Limited
835,APTECHT,Aptech Limited
836,ORIENTHOT,Oriental Hotels Limited
837,DCXINDIA,DCX Systems Limited
838,FOSECOIND,Foseco India Limited
839,GOLDIAM,Goldiam International Limited
840,SHANKARA,Shankara Building Products Limited
841,INSECTICID,Insecticides (India) Limited
842,THANGAMAYL,Thangamayil Jewellery Limited
843,SHK,S H Kelkar and Company Limited
844,TEXRAIL,Texmaco Rail & Engineering Limited
845,CANTABIL,Cantabil Retail India Limited
846,GALLANTT,Gallantt Ispat Limited
847,HERITGFOOD,Heritage Foods Limited
848,KCP,KCP Limited
849,MOREPENLAB,Morepen Laboratories Limited
850,GATI,GATI Limited
851,RAMASTEEL,Rama Steel Tubes Limited
852,HESTERBIO,Hester Biosciences Limited
853,NRBBEARING,NRB Bearing Limited
854,INDOSTAR,IndoStar Capital Finance Limited
855,MONTECARLO,Monte Carlo Fashions Limited
856,KSL,Kalyani Steels Limited
857,KDDL,KDDL Limited
858,TCPLPACK,TCPL Packaging Limited
859,MARATHON,Marathon Nextgen Realty Limited
860,ARVSMART,Arvind SmartSpaces Limited
861,DCW,DCW Limited
862,DEN,Den Networks Limited
863,STEELXIND,STEEL EXCHANGE INDIA LIMITED
864,EIHAHOTELS,EIH Associated Hotels Limited
865,IGPL,IG Petrochemicals Limited
866,NITINSPIN,Nitin Spinners Limited
867,EXPLEOSOL,Expleo Solutions Limited
868,VERANDA,Veranda Learning Solutions Limited
869,SALASAR,Salasar Techno Engineering Limited
870,STYRENIX,Styrenix Performance Materials Limited
871,ADORWELD,Ador Welding Limited
872,BHAGCHEM,Bhagiradha Chemicals & Industries Limited
873,PCJEWELLER,PC Jeweller Limited
874,GENESYS,Genesys International Corporation Limited
875,STOVEKRAFT,Stove Kraft Limited
876,RANEHOLDIN,Rane Holdings Limited
877,NDTV,New Delhi Television Limited
878,XPROINDIA,Xpro India Limited
879,MANORAMA,Manorama Industries Limited
880,GRWRHITECH,Garware Hi-Tech Films Limited
881,HARIOMPIPE,Hariom Pipe Industries Limited
882,SANDHAR,Sandhar Technologies Limited
883,AVTNPL,AVT Natural Products Limited
884,IWEL,Inox Wind Energy Limited
885,SJS,S.J.S. Enterprises Limited
886,EVERESTIND,Everest Industries Limited
887,FAIRCHEMOR,Fairchem Organics Limited
888,SASKEN,Sasken Technologies Limited
889,OAL,Oriental Aromatics Limited
890,NELCO,NELCO Limited
891,RIIL,Reliance Industrial Infrastructure Limited
892,SOLARA,Solara Active Pharma Sciences Limited
893,TAJGVK,Taj GVK Hotels & Resorts Limited
894,BOMDYEING,Bombay Dyeing & Mfg Company Limited
895,MANGCHEFER,Mangalore Chemicals & Fertilizers Limited
896,GOODLUCK,Goodluck India Limited
897,RPGLIFE,RPG Life Sciences Limited
898,PATELENG,Patel Engineering Limited
899,SPIC,Southern Petrochemicals Industries Corporation  Limited
900,INOXGREEN,Inox Green Energy Services Limited
901,GIPCL,Gujarat Industries Power Company Limited
902,UNIVCABLES,Universal Cables Limited
903,NSIL,Nalwa Sons Investments Limited
904,HMT,HMT Limited
905,MATRIMONY,Matrimony.Com Limited
906,MTNL,Mahanagar Telephone Nigam Limited
907,SDBL,Som Distilleries & Breweries Limited
908,VALIANTORG,Valiant Organics Limited
909,ARMANFIN,Arman Financial Services Limited
910,REPCOHOME,Repco Home Finance Limited
911,HERANBA,Heranba Industries Limited
912,BFUTILITIE,BF Utilities Limited
913,PRECWIRE,Precision Wires India Limited
914,AXITA,Axita Cotton Limited
915,GRMOVER,GRM Overseas Limited
916,GTPL,GTPL Hathway Limited
917,IGARASHI,Igarashi Motors India Limited
918,INFOBEAN,InfoBeans Technologies Limited
919,ALICON,Alicon Castalloy Limited
920,THEMISMED,Themis Medicare Limited
921,TVTODAY,TV Today Network Limited
922,WHEELS,Wheels India Limited
923,RPSGVENT,RPSG VENTURES LIMITED
924,RAMCOIND,Ramco Industries Limited
925,SMLISUZU,SML Isuzu Limited
926,AHL,Abans Holdings Limited
927,UNIENTER,Uniphos Enterprises Limited
928,SATIN,Satin Creditcare Network Limited
929,KUANTUM,Kuantum Papers Limited
930,GANESHBE,Ganesh Benzoplast Limited
931,SUVEN,Suven Life Sciences Limited
932,SATIA,Satia Industries Limited
933,GULPOLY,Gulshan Polyols Limited
934,UGARSUGAR,The Ugar Sugar Works Limited
935,MANALIPETC,Manali Petrochemicals Limited
936,PIXTRANS,Pix Transmissions Limited
937,SHRIRAMPPS,Shriram Properties Limited
938,RADIANTCMS,Radiant Cash Management Services Limited
939,PNBGILTS,PNB Gilts Limited
940,INDORAMA,Indo Rama Synthetics (India) Limited
941,ASHAPURMIN,Ashapura Minechem Limited
942,UGROCAP,Ugro Capital Limited
943,AXISCADES,AXISCADES Technologies Limited
944,HITECH,Hi-Tech Pipes Limited
945,PUNJABCHEM,Punjab Chemicals & Crop Protection Limited
946,SURYODAY,Suryoday Small Finance Bank Limited
947,EKC,Everest Kanto Cylinder Limited
948,JASH,Jash Engineering Limited
949,DPSCLTD,DPSC Limited
950,TARC,TARC Limited
951,BHARATWIRE,Bharat Wire Ropes Limited
952,EXCELINDUS,Excel Industries Limited
953,SPECIALITY,Speciality Restaurants Limited
954,ANUP,The Anup Engineering Limited
955,SKIPPER,Skipper Limited
956,AJMERA,Ajmera Realty & Infra India Limited
957,SHALPAINTS,Shalimar Paints Limited
958,GMBREW,GM Breweries Limited
959,SANGAMIND,Sangam (India) Limited
960,SHIVALIK,Shivalik Rasayan Limited
961,GMRP&UI,GMR Power and Urban Infra Limited
962,PENIND,Pennar Industries Limited
963,GEOJITFSL,Geojit Financial Services Limited
964,BCLIND,Bcl Industries Limited
965,DBOL,Dhampur Bio Organics Limited
966,SHAILY,Shaily Engineering Plastics Limited
967,LIKHITHA,Likhitha Infrastructure Limited
968,MADRASFERT,Madras Fertilizers Limited
969,STEELCAS,Steelcast Limited
970,MKPL,M K Proteins Limited
971,ROSSELLIND,Rossell India Limited
972,KITEX,Kitex Garments Limited
973,PRAKASH,Prakash Industries Limited
974,ARTEMISMED,Artemis Medicare Services Limited
975,RICOAUTO,Rico Auto Industries Limited
976,OMAXE,Omaxe Limited
977,CENTUM,Centum Electronics Limited
978,ROTO,Roto Pumps Limited
979,PRECAM,Precision Camshafts Limited
980,BIGBLOC,Bigbloc Construction Limited
981,SHREDIGCEM,Shree Digvijay Cement Co.Ltd
982,CLSEL,Chaman Lal Setia Exports Limited
983,GTLINFRA,GTL Infrastructure Limited
984,PGIL,Pearl Global Industries Limited
985,UTTAMSUGAR,Uttam Sugar Mills Limited
986,AVADHSUGAR,Avadh Sugar & Energy Limited
987,PITTIENG,Pitti Engineering Limited
988,5PAISA,5Paisa Capital Limited
989,NAHARSPING,Nahar Spinning Mills Limited
990,SPCENET,Spacenet Enterprises India Limited
991,SPORTKING,Sportking India Limited
992,DEEPINDS,Deep Industries Limited
993,PARAGMILK,Parag Milk Foods Limited
994,AGARIND,Agarwal Industrial Corporation Limited
995,CONTROLPR,Control Print Limited
996,BAJAJHCARE,Bajaj Healthcare Limited
997,KAMDHENU,Kamdhenu Limited
998,CHEMCON,Chemcon Speciality Chemicals Limited
999,GICHSGFIN,GIC Housing Finance Limited
1000,MEDICAMEQ,Medicamen Biotech Limited
1001,DLINKINDIA,D-Link (India) Limited
1002,ARIHANTSUP,Arihant Superstructures Limited
1003,VHL,Vardhman Holdings Limited
1004,PFS,PTC India Financial Services Limited
1005,HEXATRADEX,Hexa Tradex Limited
1006,RILINFRA,Rachana Infrastructure Limited
1007,CAPACITE,Capacit'e Infraprojects Limited
1008,SPAL,S. P. Apparels Limited
1009,NCLIND,NCL Industries Limited
1010,63MOONS,63 moons technologies limited
1011,NAVKARCORP,Navkar Corporation Limited
1012,ORIENTPPR,Orient Paper & Industries Limited
1013,DREDGECORP,Dredging Corporation of India Limited
1014,AMBIKCO,Ambika Cotton Mills Limited
1015,CENTRUM,Centrum Capital Limited
1016,LINC,Linc Limited
1017,RGL,Renaissance Global Limited
1018,SCHAND,S Chand And Company Limited
1019,NELCAST,Nelcast Limited
1020,FAZE3Q,Faze Three Limited
1021,KICL,Kalyani Investment Company Limited
1022,DVL,Dhunseri Ventures Limited
1023,JAGSNPHARM,Jagsonpal Pharmaceuticals Limited
1024,POKARNA,Pokarna Limited
1025,IFGLEXPOR,IFGL Refractories Limited
1026,TRIL,Transformers And Rectifiers (India) Limited
1027,CENTENKA,Century Enka Limited
1028,SMCGLOBAL,SMC Global Securities Limited
1029,ROHLTD,Royal Orchid Hotels Limited
1030,INDNIPPON,India Nippon Electricals Limited
1031,SHAKTIPUMP,Shakti Pumps (India) Limited
1032,NGLFINE,NGL Fine-Chem Limited
1033,IMPAL,India Motor Parts and Accessories Limited
1034,BLISSGVS,Bliss GVS Pharma Limited
1035,ALLSEC,Allsec Technologies Limited
1036,ORIENTBELL,Orient Bell Limited
1037,MANGLMCEM,Mangalam Cement Limited
1038,SANDESH,The Sandesh Limited
1039,BODALCHEM,Bodal Chemicals Limited
1040,ESTER,Ester Industries Limited
1041,ZOTA,Zota Health Care LImited
1042,RSWM,RSWM Limited
1043,INDRAMEDCO,Indraprastha Medical Corporation Limited
1044,QUICKHEAL,Quick Heal Technologies Limited
1045,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited
1046,AURIONPRO,Aurionpro Solutions Limited
1047,GSLSU,Global Surfaces Limited
1048,SASTASUNDR,Sastasundar Ventures Limited
1049,MANAKSIA,Manaksia Limited
1050,AWHCL,Antony Waste Handling Cell Limited
1051,BLKASHYAP,B. L. Kashyap and Sons Limited
1052,RAMRAT,Ram Ratna Wires Limited
1053,JINDRILL,Jindal Drilling And Industries Limited
1054,VIMTALABS,Vimta Labs Limited
1055,CLOUD,Varanium Cloud Limited
1056,DPABHUSHAN,D. P. Abhushan Limited
1057,MOLDTECH,Mold-Tek Technologies Limited
1058,ATULAUTO,Atul Auto Limited
1059,KOKUYOCMLN,Kokuyo Camlin Limited
1060,SIGACHI,Sigachi Industries Limited
1061,HIMATSEIDE,Himatsingka Seide Limited
1062,LINCOLN,Lincoln Pharmaceuticals Limited
1063,GREENPOWER,Orient Green Power Company Limited
1064,EMAMIPAP,Emami Paper Mills Limited
1065,SATINDLTD,Sat Industries Limited
1066,RAMCOSYS,Ramco Systems Limited
1067,HPAL,HP Adhesives Limited
1068,OCCL,Oriental Carbon & Chemicals Limited
1069,FOCUS,Focus Lighting and Fixtures Limited
1070,GEPIL,GE Power India Limited
1071,SUTLEJTEX,Sutlej Textiles and Industries Limited
1072,PANACEABIO,Panacea Biotec Limited
1073,JAIBALAJI,Jai Balaji Industries Limited
1074,RML,Rane (Madras) Limited
1075,JETAIRWAYS,Jet Airways (India) Limited
1076,TRACXN,Tracxn Technologies Limited
1077,KHAICHEM,Khaitan Chemicals & Fertilizers Limited
1078,TNPETRO,Tamilnadu PetroProducts Limited
1079,ONWARDTEC,Onward Technologies Limited
1080,TFCILTD,Tourism Finance Corporation of India Limited
1081,ONMOBILE,OnMobile Global Limited
1082,INNOVANA,Innovana Thinklabs Limited
1083,GANDHITUBE,Gandhi Special Tubes Limited
1084,TEXINFRA,Texmaco Infrastructure & Holdings Limited
1085,MEDICO,Medico Remedies Limited
1086,TVSELECT,TVS Electronics Limited
1087,HEUBACHIND,Heubach Colorants India Limited
1088,VINYLINDIA,Vinyl Chemicals (India) Limited
1089,PARACABLES,Paramount Communications Limited
1090,FOODSIN,Foods & Inns Limited
1091,HLVLTD,HLV LIMITED
1092,COFFEEDAY,Coffee Day Enterprises Limited
1093,BETA,Beta Drugs Limited
1094,APEX,Apex Frozen Foods Limited
